Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
D14C,-43.632534,172.624664,35,B,726,0.1915,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Kaiser et al. (2013),0,0.3,Q3,1,Kaiser et al. (2017),1475,0.3,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
D15C,-43.584671,172.725601,5,B,763,0.1905,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.2,Q2,Mn,Kaiser et al. (2013),34,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1875,0.3,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
DALS,-43.51198,172.67323,76,D,188,0.153,Q3,Foster et al. (2019),5.2,0.2,Q2,I,Stolte et al. 2021,625,0.3,Q3,0,NZVM (2021),2325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DAVS,-41.20578668,174.9543598,496,D,300,0.2,Q3,NSHM 2021,0.6289,0.3081,Q1,I,Stolte et al. 2021,35,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DCDS,-45.87433511,170.5021555,33,B,600,0.2,Q3,Cousins et al. (2006),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,27,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
DCZ,-45.46471319,167.1535335,384,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),425,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
DECF,-45.202565,166.972743,260,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),0,0.5,Q3,1,Kaiser et al. (2017),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DFHS,-43.48967462,172.1021597,6,D,515,0.0453,Q1,Deschenes et al. (2018),5.6,0.1,Q1,Mw,Stolte et al. 2021,797,0,Q2,0,Deschenes et al. (2018),1225,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DGNS,-45.8625648,170.5139057,4,B,600,0.2,Q3,Kaiser et al. 2017,0.064,0.033,Q1,Mw,Stolte et al. 2021 unpublished,38,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
DHSS,-43.63026,172.72725,5,C,535,0.324,Q3,Foster et al. (2019) & Perrin et al. (2015),0.19,0.1,Q1,I,Manea et al. 2021 unpublished,32,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DKHS,-45.90222588,170.4929352,204,C,203,0.21,Q3,Foster et al. (2019) & Perrin et al. (2015),0.57,0.048,Q1,Ms,Sangster 2020,58,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
DORC,-43.89676518,172.0938275,62,D,220,0.242,Q3,Foster et al. (2019),5.5,0.3,Q3,I,Stolte et al. 2021,1035,0.3,Q3,0,NZVM (2021),2075,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DSLC,-43.66749947,172.19792,6,D,500,0.243,Q3,Foster et al. (2019),5.6,0.1,Q1,I,Stolte et al. 2021,455,0.3,Q3,0,NZVM (2021),1475,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
DSZ,-41.74496082,171.8046144,193,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,40,0.1,Q2,1,Kaiser et al. (2017),375,0.5,Q3,NZVM (2021),0,0.33,0,,,,,,,,,,,,,,
DUNS,-45.9051559,170.4706449,9,C,500,0.1,Q2,Kaiser et al. 2017,0.17,0.1,Q1,Ms,Manea et al. 2021 unpublished,9,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
DVHS,-40.20169649,176.1013651,244,C,372,0.353,Q3,Foster et al. (2019) & Perrin et al. (2015),0.58,0.3,Q3,Mw,Kaiser et al. 2017,60,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
EAZ,-45.2310534,169.3082534,165,B,745,0.266,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),1,0.14,0,,,,,,,,,,,,,,
EBPS,-41.28942801,174.9002357,1118,C,540,0.1,Q2,Kaiser & Louie (2006),0.38,0.3,Q3,Mw,Unpub HVSR (Van Houtte),7,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
EKS1,-40.671276,175.990997,20,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),2,0.5,Q3,1,Kaiser et al. (2017),625,0.5,Q3,NZVM (2021),0,0.33,0,,,,,,,,,,,,,,
EKS2,-40.74339,175.80688,120,D,300,0.3435,Q3,Foster et al. (2019) & Perrin et al. (2015),0.6,0.3,Q3,I,Kaiser et al. 2017,63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
EKS3,-40.60051,175.8224,1140,D,300,0.3435,Q3,Foster et al. (2019) & Perrin et al. (2015),0.8,0.3,Q3,I,Kaiser et al. 2017,73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
EKTS,-40.64949542,175.7088284,3,C,315,0.513,Q3,Foster et al. (2019),0.4,0.3,Q3,Mn,NSHM (2021),6,0.5,Q3,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
EYRS,-43.42138,172.35544,154,D,318,0.506,Q3,Foster et al. (2019),6.2,0.1,Q1,I,Stolte et al. 2021,845,0.3,Q3,0,NZVM (2021),1725,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
FAHS,-40.21353557,175.5730484,45,D,264,0.3605,Q3,Foster et al. (2019) & Perrin et al. (2015),0.67,0.1,Q1,Mw,Manea et al. 2021 unpublished,63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),775,0.5,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
FAIS,-41.2074,174.9401,908,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),0,0.27,0,,,,,,,,,,,,,,
FDCS,-44.09865703,170.8286999,0,D,301,0.2,Q3,Cousins et al. (2006),2.2,0.1,Q1,I,Manea et al. 2021 unpublished,515,0.3,Q3,0,NZVM (2021),525,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
FGPS,-43.46320814,170.0198028,9,D,271,0.3195,Q3,Foster et al. (2019) & Perrin et al. (2015),0.8,0.2,Q2,Mw,Manea et al. 2021 unpublished,73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
FJDS,-43.38913671,170.1842354,720,D,270,0.3575,Q3,Foster et al. (2019) & Perrin et al. (2015),0.67,0.2,Q2,Mw,Manea et al. 2021 unpublished,63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
FKPS,-41.28794769,174.7787641,134,C,323,0.089,Q1,Vantassel & Cox 2018,0.41,0.2,Q2,Mw,Kaiser et al. 2019,30,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
FOZ,-43.53209931,169.8154798,165,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
FTPS,-41.1187051,175.3274418,15,D,294,0.353,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.2,Q2,Mw,Manea et al. 2021 unpublished,88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
FXBS,-40.46136017,175.2260331,210,D,258,0.3605,Q3,Foster et al. (2019) & Perrin et al. (2015),1.5,0.1,Q1,Ms,Manea et al. 2021 unpublished,283,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
GDLC,-43.586183,172.088753,450,D,457,0.0532,Q1,Deschenes et al. (2018),5.89,0.1,Q1,I,Stolte et al. 2021,517,0,Q2,0,Deschenes et al. (2018),1675,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GHHS,-38.64178,178.01772,2,D,275,0.0261,Q1,Stolte et al. 2021 unpublished,0.95,0.0511,Q1,I,Stolte et al. 2021 unpublished,108,0.167,Q2,1,Stolte et al. (2021) unpublished,10475,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GISS,-38.66648887,178.0226743,3,E,162,0.011,Q1,Stolte et al. 2021 unpublished,0.91,0.1,Q1,Ms,Stolte et al. 2021 unpublished,120,0.0723,Q2,1,Stolte et al. (2021) unpublished,10125,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GKBS,-38.68217,178.03188,4,B,576,0.3625,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),10175,0.5,Q3,NZVM (2021),0,0.22,0,,,,,,,,,,,,,,
GLWS,-42.59417315,172.5110494,339,D,334,0.2845,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.1,Q1,Mw,Manea et al. 2021 unpublished,83,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GMTS,-42.4491761,171.2103534,443,D,226,0.2385,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.1,Q1,Mw,Unpub HVSR (Van Houtte),73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GODS,-43.5784,172.76926,431,B,681,0.25,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,Ms,NSHM (2021),3,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1725,0.3,Q3,NZVM (2021),0,1.15,0,,,,,,,,,,,,,,
GORS,-46.10266706,168.9416931,12,D,265,0.3585,Q3,Foster et al. (2019) & Perrin et al. (2015),0.91,0.1,Q1,Ms,Manea et al. 2021 unpublished,88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),775,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GOVS,-43.632421,172.635725,2,C,479,0.568,Q3,Foster et al. (2019),0.28,0.1,Q1,Ms,Manea et al. 2021 unpublished,5,0.3,Q3,1,NZVM (2021),1175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GRZ,-36.2502,175.4578,14,B,677,0.3205,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1075,0.5,Q3,NZVM (2021),0,0.18,0,,,,,,,,,,,,,,
GVZ,-42.967365,173.03475,22,B,714,0.2695,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),2125,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
GWTS,-38.62567786,177.9215832,37,E,156,0.0183,Q1,Stolte et al. 2021 unpublished,1.5,0.22,Q1,I,Stolte et al. 2021 unpublished,180,0.236,Q2,1,Stolte et al. (2021) unpublished,9175,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HAFS,-43.14891166,170.5560614,59,D,240,0.356,Q3,Foster et al. (2019) & Perrin et al. (2015),1.1,0.1,Q1,Mw,Manea et al. 2021 unpublished,73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HALS,-43.59088047,172.569503,884,D,182,0.157,Q3,Foster et al. (2019),4.177,0.1,Q1,Ms,Stolte et al. 2021,85,0.3,Q3,0,NZVM (2021),1325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HAVS,-41.27227,173.78467,201,B,675,0.3475,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0.16,0,,,,,,,,,,,,,,
HAZ,-37.7561,177.7826,18,B,600,0.2,Q3,Kaiser et al. 2017,0.06,0.1,Q1,I,Manea et al. 2021 unpublished,25,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HCDS,-39.64584629,176.8429064,89,D,196,0.02,Q1,Stolte et al. 2021 unpublished,3.32,0.17,Q1,I,Stolte et al. 2021 unpublished,97,0.465,Q2,0,Stolte et al. (2021) unpublished,5125,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HDWS,-43.88300614,169.0441479,455,D,214,0.222,Q3,Foster et al. (2019) & Perrin et al. (2015),0.87,0.1,Q1,Ms,Manea et al. 2021 unpublished,88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HHSS,-43.5575,172.5928,368,D,180,0.141,Q3,Foster et al. (2019),4.29,0.1,Q1,Ms,Stolte et al. 2021,275,0.3,Q3,0,NZVM (2021),1725,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HIBS,-41.1399,175.0359,11,D,500,0.2,Q3,NSHM 2021,1,0.2,Q2,I,Manea et al. 2021 unpublished,103,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HMCS,-42.716922,170.9639589,28,D,278,0.2,Q3,McVerry (2011),0.76,0.3,Q3,I,Unpub HVSR (Van Houtte),68,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),2225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HNPS,-39.67101689,176.8801067,255,D,256,0.02,Q1,Stolte et al. 2021 unpublished,2.65,0.07,Q1,Ms,Stolte et al. 2021 unpublished,302,0.0696,Q2,1,Stolte et al. (2021) unpublished,5625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HOCS,-40.62164383,175.2794232,2664,D,250,0.229,Q3,Foster et al. (2019) & Perrin et al. (2015),1.8,0.3,Q3,I,Unpub HVSR (Van Houtte),183,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HORC,-43.53963553,171.9599076,70,D,531,0.055,Q1,Deschenes et al. (2018),6.04,0.1,Q1,I,Stolte et al. 2021,697,0,Q2,0,Deschenes et al. (2018),2075,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HPSC,-43.50157547,172.7021942,646,D,194,0.113,Q3,Foster et al. (2019),5.24,0.1,Q1,I,Wotherspoon et al. 2015,645,0.3,Q3,0,NZVM (2021),2225,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HSES,-42.52324224,172.8304938,112,D,280,0.2,Q3,Commercial Client - Hamner,0.71,0.1,Q1,Mw,Manea et al. 2021 unpublished,190,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HSSS,-41.15193505,174.9814773,99,C,526,0.2,Q3,NSHM 2021,0.22,0.2,Q2,Mw,Manea et al. 2021 unpublished,9,0.05,Q1,1,Site Investigation Data,275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HUKS,-39.26090321,174.5680897,442,D,270,0.3435,Q3,Foster et al. (2019) & Perrin et al. (2015),0.7,0.1,Q1,Ms,Manea et al. 2021 unpublished,53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HUNS,-43.57937,172.65723,221,B,680,0.3215,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,33,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1625,0.3,Q3,NZVM (2021),0,0.25,0,,,,,,,,,,,,,,
HVSC,-43.579787,172.709423,421,C,348,0.05,Q1,Wotherspoon et al. 2015,0.27,0.1,Q1,Ms,Wotherspoon et al. 2015,19,0.1,Q1,1,Kaiser et al. (2017),1525,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
HWHS,-39.58513919,174.2742448,322,D,210,0.1,Q2,Barker 1997a,0.6,0.1,Q1,Ms,Manea et al. 2021 unpublished,49,0.5,Q2,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
ICCS,-46.41159422,168.3469231,3,D,255,0.362,Q3,Foster et al. (2019) & Perrin et al. (2015),3.3,0.1,Q1,Mw,Manea et al. 2021 unpublished,63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
IFPS,-42.72674365,171.4728354,398,D,284,0.324,Q3,Foster et al. (2019) & Perrin et al. (2015),1.5,0.3,Q3,I,Carpentier et al. 2013,108,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
INGS,-41.85712387,171.9525458,803,C,334,0.2845,Q3,Foster et al. (2019) & Perrin et al. (2015),0.53,0.2,Q2,Mw,Manea et al. 2021 unpublished,53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
INHS,-39.15622017,174.1905255,223,D,317,0.389,Q3,Foster et al. (2019) & Perrin et al. (2015),1.5,0.3,Q3,I,Kaiser et al. 2017,138,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1775,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
INSS,-41.23351678,174.9211162,180,B,630,0.35,Q3,Foster et al. (2019) & Perrin et al. (2015),0.09,0.1,Q1,Mw,Manea et al. 2021 unpublished,28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
INZ,-42.7245,171.4441,160,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
JCWJ,-43.972337,168.611772,243,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),29,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
JCZ,-44.07321036,168.7854734,595,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KAFS,-38.0835149,176.7092902,35,D,220,0.1,Q2,Kaiser et al. 2017,1.2,0.1,Q1,Mw,Manea et al. 2021 unpublished,78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,1,,,,,,,,,,,,,,
KARS,-41.24942014,172.1164507,167,D,214,0.222,Q3,Foster et al. (2019) & Perrin et al. (2015),0.87,0.2,Q2,Ms,Unpub HVSR (Van Houtte),113,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),2175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KEKS,-41.95569,173.98141,104,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),3625,0.5,Q3,NZVM (2021),0,0.13,0,,,,,,,,,,,,,,
KFHS,-39.43337107,176.4669625,1210,B,760,0.2,Q3,Cousins et al. (2006),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,10,0.5,Q3,1,Kaiser et al. (2017),1475,0.5,Q3,NZVM (2021),0,1.25,0,,,,,,,,,,,,,,
KHLS,-40.55704,172.61189,115,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,38,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KHZ,-42.41598,173.53897,115,B,600,0.2,Q3,Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,35,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1175,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KIKS,-42.42581201,173.6821252,81,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.3,Q3,1,Kaiser et al. (2017),4925,0.3,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
KILS,-43.52687,172.64058,59,D,201,0.214,Q3,Foster et al. (2019) & Perrin et al. (2015),5,0.2,Q2,I,Stolte et al. 2021,595,0.3,Q3,1,NZVM (2021),2475,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KIRS,-41.07688392,175.2300107,18,C,329,0.288,Q3,Foster et al. (2019) & Perrin et al. (2015),0.43,0.1,Q1,Ms,Unpub HVSR (Van Houtte),43,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KLDS,-41.67309195,172.8749583,307,D,323,0.3565,Q3,Foster et al. (2019) & Perrin et al. (2015),1.1,0.2,Q2,I,Manea et al. 2021 unpublished,255,0.3,Q3,1,NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KNZ,-39.02175522,177.6736688,178,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),4725,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KOKS,-42.89168682,171.1356402,160,D,264,0.353,Q3,Foster et al. (2019) & Perrin et al. (2015),2.2,0.1,Q1,I,Manea et al. 2021 unpublished,133,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KOWC,-43.32146,171.85485,1,C,244,0.327,Q3,Foster et al. (2019),0.58,0.1,Q1,Ms,Stolte et al. 2021,55,0.3,Q3,1,NZVM (2021),375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KPOC,-43.3764632,172.6637676,33,D,257,0.05,Q1,Wotherspoon et al. 2016,7.1,0.1,Q1,I,Wotherspoon et al 2016,1345,0.3,Q3,0,NZVM (2021),3275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
KUZ,-36.74522853,175.7208729,40,B,673,0.289,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0.25,0,,,,,,,,,,,,,,
LBZ,-44.38555284,170.1844199,2022,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
LCQC,-43.608578,172.729678,10,C,600,0.2,Q3,Kaiser et al. 2017,0.13,0.3,Q3,I,Kaiser et al. 2017,65,0.3,Q3,1,NZVM (2021),1375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
LHBS,-41.19664587,174.892316,185,B,626,0.338,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0.6,0,,,,,,,,,,,,,,
LHES,-41.21168624,174.903336,130,D,222,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.16,0.3,Q3,I,Boon et al. (2010),175,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
LHRS,-41.20473605,174.8931859,214,B,622,0.336,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0.71,0,,,,,,,,,,,,,,
LHUS,-41.23084665,174.8936358,62,D,212,0.05,Q1,Kaiser & Louie (2006),1.75,0.1,Q1,I,Manea et al. 2021 unpublished,243,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
LINC,-43.62317904,172.4680038,4,D,292,0.0468,Q1,Deschenes et al. (2018),4.36,0.1,Q1,I,Stolte et al. 2021,662,0,Q2,0,Deschenes et al. (2018),1725,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
LIRS,-41.23231,174.91929,24,C,400,0.2,Q3,Kaiser et al. 2017,0.25,0.1,Q1,Mw,Manea et al. 2021 unpublished,16,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
LNBS,-41.20498,174.9266,728,D,330,0.1,Q2,Kaiser & Louie (2006),0.8,0.3,Q3,I,Boon et al. (2010),131,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
LPCC,-43.60785,172.724778,429,B,760,0.2,Q3,Kaiser et al. 2017,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,5,0.3,Q3,1,Kaiser et al. (2017),1325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
